Team,Player,Birthplace,Latitude,Longitutde
Detroit Pistons,John Henson,"Greensboro, North Carolina","36°04'48""N","79°49'10""W"
Oklahoma City Thunder,Darius Bazley,"Cincinnati, Ohio","36°06'00""N","84°31'00""W"
Oklahoma City Thunder,Chris Paul,"Winston-Salem, North Carolina","36°06'10""N","80°15'38""W"
Sacramento Kings,Harry Giles,"Winston-Salem, North Carolina","36°06'10""N","80°15'38""W"
Oklahoma City Thunder,Terrance Ferguson,"Tulsa, Oklahoma","36°07'53""N","95°56'14""W"
New Orleans Pelicans,JJ Redick,"Cookeville, Tennessee","36°09'51""N","85°30'15""W"
Detroit Pistons,Jordan Bone,"Nashville, Tennessee","36°10'00""N","86°47'00""W"
Washington Wizards,Troy Brown Jr.,"Las Vegas, Nevada","36°10'30""N","115°08'11""W"
Sacramento Kings,Kent Bazemore,"Kelford, North Carolina","36°10'51""N","77°13'18""W"
Portland TrailBlazers,Zach Collins,"North Las Vegas, Nevada","36°13'43""N","115°08'48""W"
Houston Rockets,Tyson Chandler,"Hanford, California","36°19'39""N","119°38'44""W"
Philadelphia 76ers,Mike Scott,"Chesapeake, Virginia","36°46'03""N","76°17'15""W"
Dallas Mavericks,Dorian Finney-Smith,"Portsmouth, Virginia","36°50'04""N","76°23'30""W"
Boston Celtics,Javonte Green,"Petersburg, Virginia","37°12'47""N","77°24'02""W"
Milwaukee Bucks,Frank Mason III,"Petersburg, Virginia","37°12'47""N","77°24'02""W"
Denver Nuggets,Troy Daniels,"Roanoke, Virginia","37°16'00""N","79°56'00""W"
Detroit Pistons,Khyri Thomas,"Cupertino, California","37°19'23""N","122°01'55""W"
Orlando Magic,Aaron Gordon,"San Jose, California","37°20'00""N","121°51'00""W"
San Antonio Spurs,Keldon Johnson,"Chesterfield, Virginia","37°22'35""N","77°30'14""W"
Indiana Pacers,Jeremy Lamb,"Henrico, Virginia","37°33'00""N","77°24'00""W"
Miami Heat,Gabe Vincent,"Modesto, California","37°39'41""N","120°59'40""W"
Cleveland Cavaliers,Dean Wade,"Wichita, Kansas","37°41'20""N","97°20'10""W"
Dallas Mavericks,Tim Hardaway Jr.,"Alameda, California","37°45'22""N","122°16'28""W"
Golden State Warriors,Juan Toscano-Anderson,"Oakland, California","37°48'16""N","122°16'15""W"
Portland TrailBlazers,Damian Lillard,"Oakland, California","37°48'16""N","122°16'15""W"
Utah Jazz,Juwan Morgan,"Waynesville, Missouri","37°49'43""N","92°12'03""W"
Dallas Mavericks,Willie Cauley-Stein,"Spearville, Kansas","37°50'56""N","99°45'19""W"
Chicago Bulls,Luke Kornet,"Lexington, Kentucky","38°01'47""N","84°29'41""W"
Charlotte Hornets,PJ Washington,"Louisville, Kentucky","38°13'31""N","85°44'30""W"
Los Angeles Lakers,Rajon Rondo,"Louisville, Kentucky","38°13'31""N","85°44'30""W"
Minnesota Timberwolves,D'Angelo Russell,"Louisville, Kentucky","38°13'31""N","85°44'30""W"
Minnesota Timberwolves,Kelan Martin,"Louisville, Kentucky","38°13'31""N","85°44'30""W"
Boston Celtics,Romeo Langford,"New Albany, Indiana","38°18'07""N","85°49'17""W"
Denver Nuggets,Keita Bates-Diop,"Sacramento, California","38°34'54""N","121°29'40""W"
Golden State Warriors,Marquese Chriss,"Sacramento, California","38°34'54""N","121°29'40""W"
Boston Celtics,Jayson Tatum,"St. Louis, Missouri","38°37'38""N","90°11'52""W"
Chicago Bulls,Otto Porter,"St. Louis, Missouri","38°37'38""N","90°11'52""W"
Houston Rockets,Ben McLemore,"St. Louis, Missouri","38°37'38""N","90°11'52""W"
Toronto Raptors,Patric McCaw,"St. Louis, Missouri","38°37'38""N","90°11'52""W"
Washington Wizards,Bradley Beal,"St. Louis, Missouri","38°37'38""N","90°11'52""W"
Miami Heat,Meyers Leonard,"Woodbridge, Virginia","38°38'37""N","77°15'39""W"
Charlotte Hornets,Cody Zeller,"Washington, Indiana","38°39'30""N","87°10'30""W"
